Node /,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,19,22,27,29,21.86,4.26,561,18
Requests,4191,4515,4611,4639,4473.64,207.45,4651,2468
Throughput,2058239,2215935,2265087,2277375,2196309.34,101892.96,2283641,1211788
Node /fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,22,25,30,32,24.95,2.56,100,3
Requests,3735,3937,4095,4099,3929.9,105.6,4144,3097
Throughput,5529599,5828607,6062079,6066175,5815842.14,156065.29,6133120,4583560
Node /addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,25,28,35,36,28.47,4.09,445,3
Requests,3317,3451,3603,3627,3452.45,74.24,3628,3142
Throughput,902655,939007,979967,986623,938956.8,20173.11,986816,854624
Bun /,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,4,5,7,9,5.04,1.45,147,1
Requests,15943,17855,19311,19375,17853.1,776.14,19836,14760
Throughput,3411967,3821567,4132863,4147199,3820330.67,166275.76,4244904,3158640
Bun /fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,5,6,8,11,6.02,1.27,29,1
Requests,14015,15271,16447,16639,15268.04,601.99,16638,13734
Throughput,20086783,21889023,23560191,23855103,21878784,863439.82,23842254,19680822
Bun /addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,5,9,14,15,8.93,2.29,49,2
Requests,9919,10647,11031,11103,10613.67,253.51,11255,9569
Throughput,2232319,2396159,2482175,2498559,2388036.27,57075.14,2532375,2153025
Deno /,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,7,8,12,13,8.49,1.54,148,3
Requests,10695,11167,11543,11623,11126.79,500.93,11635,6195
Throughput,2535423,2648063,2736127,2754559,2636940.8,118727.49,2757495,1468215
Deno /fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,8,9,13,14,9.51,1.24,36,4
Requests,9351,10007,10399,10415,9980.94,264.35,10464,9274
Throughput,13615103,14573567,15138815,15163391,14531310.94,385153.97,15235584,13502944
Deno /addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,13,14,18,19,14.36,1.41,39,1
Requests,6439,6747,6927,6971,6732,128.5,6977,6066
Throughput,1596415,1673215,1717247,1728511,1669435.74,31819.7,1730296,1504368