deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:36
gifted_nobel;145.85%;0.84%;269MiB;31.18GiB;590MB;3.41GB;0B;0B;21;21:03:50
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:03:53
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:53
gifted_nobel;142.59%;0.86%;275.8MiB;31.18GiB;593MB;3.42GB;0B;0B;21;21:03:53
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:03:56
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:56
gifted_nobel;142.57%;0.88%;282.5MiB;31.18GiB;598MB;3.43GB;0B;0B;21;21:03:56
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:03:59
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:59
gifted_nobel;146.41%;0.90%;286MiB;31.18GiB;601MB;3.44GB;0B;0B;21;21:03:59
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:02
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:02
gifted_nobel;140.26%;0.91%;291.6MiB;31.18GiB;604MB;3.44GB;0B;0B;21;21:04:02
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:05
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:05
gifted_nobel;142.99%;0.93%;297MiB;31.18GiB;608MB;3.45GB;0B;0B;21;21:04:05
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:08
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:08
gifted_nobel;136.39%;0.95%;304.6MiB;31.18GiB;612MB;3.46GB;0B;0B;21;21:04:08
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:11
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:11
gifted_nobel;142.21%;0.97%;308.2MiB;31.18GiB;615MB;3.47GB;0B;0B;21;21:04:11
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:14
node;0.01%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:14
gifted_nobel;142.10%;0.98%;314.1MiB;31.18GiB;618MB;3.47GB;0B;0B;21;21:04:14
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:17
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:17
gifted_nobel;139.52%;1.00%;319.4MiB;31.18GiB;622MB;3.48GB;0B;0B;21;21:04:17
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:20
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:20
gifted_nobel;140.30%;1.02%;324.9MiB;31.18GiB;625MB;3.49GB;0B;0B;21;21:04:20
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:23
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:23
gifted_nobel;134.10%;1.03%;330.2MiB;31.18GiB;629MB;3.49GB;0B;0B;21;21:04:23
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:26
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:26
gifted_nobel;140.61%;1.06%;337.5MiB;31.18GiB;633MB;3.51GB;0B;0B;21;21:04:26
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:29
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:29
gifted_nobel;136.21%;1.08%;343.5MiB;31.18GiB;637MB;3.51GB;0B;0B;21;21:04:29
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:32
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:32
gifted_nobel;139.68%;1.09%;347.3MiB;31.18GiB;639MB;3.52GB;0B;0B;21;21:04:32
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:04:35
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:35
gifted_nobel;141.28%;1.11%;354.5MiB;31.18GiB;644MB;3.53GB;0B;0B;21;21:04:35
deno;108.62%;0.28%;90.23MiB;31.18GiB;3.43MB;7.88MB;0B;176kB;9;21:04:38
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:38
gifted_nobel;0.01%;1.11%;353.8MiB;31.18GiB;644MB;3.53GB;0B;0B;21;21:04:38
deno;111.16%;0.28%;90.11MiB;31.18GiB;6.23MB;14.4MB;0B;176kB;9;21:04:41
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:41
gifted_nobel;0.00%;1.11%;353.8MiB;31.18GiB;644MB;3.53GB;0B;0B;21;21:04:41
deno;112.92%;0.28%;90.26MiB;31.18GiB;11.7MB;27.2MB;0B;176kB;9;21:04:44
node;0.01%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:44
gifted_nobel;0.00%;1.11%;353.8MiB;31.18GiB;644MB;3.53GB;0B;0B;21;21:04:44
deno;110.42%;0.28%;90.26MiB;31.18GiB;15.6MB;36.3MB;0B;176kB;9;21:04:47
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:47
gifted_nobel;0.03%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;14;21:04:47
deno;109.63%;0.28%;90.26MiB;31.18GiB;19.8MB;46MB;0B;176kB;9;21:04:50
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:50
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;14;21:04:50
deno;113.20%;0.28%;90.27MiB;31.18GiB;22.6MB;52.6MB;0B;176kB;9;21:04:53
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:53
gifted_nobel;0.01%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;14;21:04:53
deno;111.21%;0.28%;90.27MiB;31.18GiB;28.3MB;65.8MB;0B;176kB;9;21:04:56
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:56
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;14;21:04:56
deno;111.84%;0.28%;90.27MiB;31.18GiB;31MB;72.2MB;0B;176kB;9;21:04:59
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:04:59
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:04:59
deno;107.25%;0.28%;90.27MiB;31.18GiB;36.5MB;85MB;0B;176kB;9;21:05:02
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:02
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:02
deno;111.34%;0.28%;90.27MiB;31.18GiB;40.8MB;94.9MB;0B;176kB;9;21:05:05
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:05
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:05
deno;111.68%;0.28%;90.27MiB;31.18GiB;43.6MB;102MB;0B;176kB;9;21:05:08
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:08
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:08
deno;109.36%;0.28%;90.4MiB;31.18GiB;47.8MB;111MB;0B;176kB;9;21:05:11
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:11
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:11
deno;110.46%;0.28%;90.28MiB;31.18GiB;52MB;121MB;0B;176kB;9;21:05:14
node;0.01%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:14
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:14
deno;107.96%;0.28%;90.28MiB;31.18GiB;57.3MB;133MB;0B;176kB;9;21:05:17
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:17
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:17
deno;110.23%;0.28%;90.28MiB;31.18GiB;60.1MB;140MB;0B;176kB;9;21:05:20
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:20
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:20
deno;109.94%;0.28%;90.28MiB;31.18GiB;65.8MB;153MB;0B;176kB;9;21:05:24
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:24
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:24
deno;108.49%;0.28%;90.28MiB;31.18GiB;68.6MB;160MB;0B;176kB;9;21:05:27
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:27
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:27
deno;111.87%;0.28%;90.28MiB;31.18GiB;74.2MB;173MB;0B;176kB;9;21:05:30
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:30
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:30
deno;110.67%;0.28%;90.28MiB;31.18GiB;78.5MB;183MB;0B;176kB;9;21:05:33
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:33
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:33
deno;110.92%;0.28%;90.28MiB;31.18GiB;82.7MB;193MB;0B;176kB;9;21:05:36
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:36
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:36
deno;110.49%;0.28%;90.28MiB;31.18GiB;87.1MB;203MB;0B;176kB;9;21:05:39
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:39
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:39
deno;108.72%;0.28%;90.28MiB;31.18GiB;89.9MB;209MB;0B;176kB;9;21:05:42
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:42
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:42
deno;112.07%;0.28%;90.28MiB;31.18GiB;95.6MB;223MB;0B;176kB;9;21:05:45
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:45
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:45
deno;109.02%;0.28%;90.28MiB;31.18GiB;99.8MB;232MB;0B;176kB;9;21:05:48
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:48
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:48
deno;106.63%;0.28%;90.28MiB;31.18GiB;104MB;242MB;0B;176kB;9;21:05:51
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:51
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:51
deno;110.68%;0.28%;90.28MiB;31.18GiB;108MB;252MB;0B;176kB;9;21:05:54
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:54
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:54
deno;111.42%;0.28%;90.28MiB;31.18GiB;113MB;262MB;0B;176kB;9;21:05:57
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:57
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:57
deno;107.69%;0.28%;90.28MiB;31.18GiB;117MB;272MB;0B;176kB;9;21:06:00
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:00
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:00
deno;111.44%;0.28%;90.28MiB;31.18GiB;120MB;279MB;0B;176kB;9;21:06:03
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:03
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:03
deno;110.13%;0.28%;90.28MiB;31.18GiB;126MB;292MB;0B;176kB;9;21:06:06
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:06
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:06
deno;111.86%;0.28%;90.28MiB;31.18GiB;130MB;302MB;0B;176kB;9;21:06:09
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:09
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:09
deno;109.76%;0.28%;90.28MiB;31.18GiB;133MB;309MB;0B;176kB;9;21:06:12
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:12
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:12
deno;110.05%;0.28%;90.28MiB;31.18GiB;138MB;322MB;0B;176kB;9;21:06:15
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:15
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:15
deno;109.21%;0.28%;90.28MiB;31.18GiB;141MB;328MB;0B;176kB;9;21:06:18
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:18
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:18
deno;109.72%;0.28%;90.28MiB;31.18GiB;145MB;339MB;0B;176kB;9;21:06:21
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:21
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:21
deno;111.31%;0.28%;90.28MiB;31.18GiB;149MB;348MB;0B;176kB;9;21:06:24
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:24
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:24
deno;110.26%;0.28%;90.28MiB;31.18GiB;155MB;362MB;0B;176kB;9;21:06:27
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:27
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:27
deno;106.31%;0.28%;90.28MiB;31.18GiB;159MB;371MB;0B;176kB;9;21:06:30
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:30
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:30
deno;111.05%;0.28%;90.28MiB;31.18GiB;164MB;381MB;0B;176kB;9;21:06:33
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:33
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:33
deno;113.30%;0.28%;90.28MiB;31.18GiB;166MB;388MB;0B;176kB;9;21:06:36
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:36
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:36
deno;106.37%;0.28%;90.44MiB;31.18GiB;172MB;429MB;0B;176kB;9;21:06:39
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:39
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:39
deno;111.41%;0.28%;90.57MiB;31.18GiB;180MB;489MB;0B;176kB;9;21:06:42
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:42
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:42
deno;108.08%;0.28%;90.49MiB;31.18GiB;184MB;519MB;0B;176kB;9;21:06:45
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:45
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:45
deno;110.32%;0.28%;90.61MiB;31.18GiB;190MB;565MB;0B;176kB;9;21:06:48
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:48
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:48
deno;110.37%;0.28%;90.46MiB;31.18GiB;196MB;610MB;0B;176kB;9;21:06:51
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:51
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:51
deno;111.00%;0.28%;90.57MiB;31.18GiB;203MB;668MB;0B;176kB;9;21:06:54
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:54
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:54
deno;108.60%;0.28%;90.77MiB;31.18GiB;209MB;713MB;0B;176kB;9;21:06:57
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:57
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:57
deno;109.72%;0.28%;90.7MiB;31.18GiB;215MB;758MB;0B;176kB;9;21:07:00
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:00
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:00
deno;108.24%;0.28%;90.73MiB;31.18GiB;221MB;802MB;0B;176kB;9;21:07:03
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:03
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:03
deno;111.58%;0.28%;90.73MiB;31.18GiB;227MB;846MB;0B;176kB;9;21:07:06
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:06
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:06
deno;109.36%;0.28%;90.56MiB;31.18GiB;233MB;892MB;0B;176kB;9;21:07:09
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:09
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:09
deno;110.19%;0.28%;90.57MiB;31.18GiB;237MB;922MB;0B;176kB;9;21:07:12
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:12
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:12
deno;109.62%;0.28%;90.55MiB;31.18GiB;245MB;981MB;0B;176kB;9;21:07:15
node;0.01%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:15
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:15
deno;110.44%;0.28%;90.62MiB;31.18GiB;250MB;1.02GB;0B;176kB;9;21:07:18
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:18
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:18
deno;111.06%;0.28%;90.53MiB;31.18GiB;256MB;1.07GB;0B;176kB;9;21:07:21
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:21
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:21
deno;111.24%;0.28%;90.64MiB;31.18GiB;262MB;1.11GB;0B;176kB;9;21:07:24
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:24
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:24
deno;108.80%;0.28%;90.5MiB;31.18GiB;266MB;1.14GB;0B;176kB;9;21:07:27
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:27
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:27
deno;109.59%;0.28%;90.61MiB;31.18GiB;274MB;1.2GB;0B;176kB;9;21:07:31
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:31
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:31
deno;109.48%;0.28%;90.57MiB;31.18GiB;277MB;1.23GB;0B;176kB;9;21:07:34
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:07:34
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:07:34
